wine_cepages
"{'name': 'Cabernet Sauvignon', 'color': 'Red', 'grape_variety': 'Cabernet Sauvignon', 'region': 'Bordeaux, Médoc, Saint-Émilion', 'price': '€10 to over €1,000', 'rating': '90+'}"
"{'name': 'Merlot', 'color': 'Red', 'grape_variety': 'Merlot', 'region': 'Bordeaux, Saint-Émilion, Pomerol', 'price': '€10 to €200', 'rating': '80-90'}"
"{'name': 'Syrah/Shiraz', 'color': 'Red', 'grape_variety': 'Syrah/Shiraz', 'region': 'Côtes du Rhône, Châteauneuf-du-Pape, Gigondas', 'price': '€15 to €500', 'rating': '85-95'}"
"{'name': 'Mourvèdre', 'color': 'Red', 'grape_variety': 'Mourvèdre', 'region': 'Côtes du Rhône, Gigondas, Châteauneuf-du-Pape, Bandol', 'price': '€20 to €300', 'rating': '85-95'}"
"{'name': 'Gamay', 'color': 'Red', 'grape_variety': 'Gamay', 'region': 'Beaujolais', 'price': '€5 to €40', 'rating': '75-85'}"
"{'name': 'Pinot Noir', 'color': 'Red', 'grape_variety': 'Pinot Noir', 'region': 'Burgundy, Gevrey-Chambertin, Pommard', 'price': '€35 to €500 for village-level wines, much higher for Crus', 'rating': '90+'}"
"{'name': 'Malbec', 'color': 'Red', 'grape_variety': 'Malbec', 'region': 'Languedoc-Roussillon, Cahors', 'price': '€25 to €150', 'rating': '80-90, with some top-tier Malbecs higher'}"
"{'name': 'Chardonnay', 'color': 'White', 'grape_variety': 'Chardonnay', 'region': 'Burgundy, Chablis, Champagne', 'price': '€20 to €200', 'rating': '85-95'}"
"{'name': 'Sauvignon Blanc', 'color': 'White', 'grape_variety': 'Sauvignon Blanc', 'region': 'Loire Valley, Bordeaux, Sauternes', 'price': '€15 to €100', 'rating': '80-90'}"
"{'name': 'Riesling', 'color': 'White', 'grape_variety': 'Riesling', 'region': 'Mosel, Rheingau, Pfalz', 'price': '€20 to €150', 'rating': '85-95'}"
"{'name': 'Pinot Grigio', 'color': 'White', 'grape_variety': 'Pinot Grigio', 'region': 'Italy, Veneto, Trentino', 'price': '€10 to €50', 'rating': '75-85'}"
"{'name': 'Chablis', 'color': 'White', 'grape_variety': 'Chablis', 'region': 'Burgundy, Chablis', 'price': '€20 to €100', 'rating': '85-95'}"
"{'name': 'Pinotage', 'color': 'Red', 'grape_variety': 'Pinotage', 'region': 'South Africa, Stellenbosch, Constantia', 'price': '€20 to €100', 'rating': '85-95'}"
"{'name': 'Zinfandel', 'color': 'Red', 'grape_variety': 'Zinfandel', 'region': 'California, Croatia, Italy', 'price': '€20 to €100', 'rating': '85-95'}"
"{'name': 'Tempranillo', 'color': 'Red', 'grape_variety': 'Tempranillo', 'region': 'Spain, Rioja, Ribera del Duero', 'price': '€20 to €100', 'rating': '85-95'}"
